Name,Direction.PXD023778,FDR.PXD023778,PValue.PXD023778,NGenes.PXD023778,MeanAbsT0.PXD023778,MeanWeightT0.PXD023778,av_foldchange.PXD023778,sig.PXD023778,Direction.PXD008934,FDR.PXD008934,PValue.PXD008934,NGenes.PXD008934,MeanAbsT0.PXD008934,MeanWeightT0.PXD008934,av_foldchange.PXD008934,sig.PXD008934
Signaling by ALK fusions and activated point mutants,Up,0.362946912,0.297941495,11,0.123565185,0.226799398,0.065236492,FALSE,Down,0.63,0.54,11,-0.533571419,-0.414831222,-0.101138204,FALSE
Loss of Nlp from mitotic centrosomes,Up,0.362946912,0.300108342,7,0.02600595,-0.164078032,0.123950387,FALSE,Down,0.756,0.723,8,-0.998248702,-1.103250161,-0.083302042,FALSE
Recruitment of mitotic centrosome proteins and complexes,Up,0.362946912,0.300108342,7,0.02600595,-0.164078032,0.123950387,FALSE,Down,0.756,0.723,8,-0.998248702,-1.103250161,-0.083302042,FALSE
Loss of proteins required for interphase microtubule organization from the centrosome,Up,0.362946912,0.300108342,7,0.02600595,-0.164078032,0.123950387,FALSE,Down,0.756,0.723,8,-0.998248702,-1.103250161,-0.083302042,FALSE
Centrosome maturation,Up,0.362946912,0.300108342,7,0.02600595,-0.164078032,0.123950387,FALSE,Down,0.756,0.723,8,-0.998248702,-1.103250161,-0.083302042,FALSE
Anchoring of the basal body to the plasma membrane,Up,0.362946912,0.300108342,7,0.02600595,-0.164078032,0.123950387,FALSE,Down,0.756,0.723,8,-0.998248702,-1.103250161,-0.083302042,FALSE
AURKA Activation by TPX2,Up,0.362946912,0.300108342,7,0.02600595,-0.164078032,0.123950387,FALSE,Down,0.756,0.723,8,-0.998248702,-1.103250161,-0.083302042,FALSE
RHOV GTPase cycle,Down,0.393282774,0.300108342,5,-0.419786325,-0.31543574,-0.044764443,FALSE,Up,0.248,0.154,6,0.685155431,0.708969847,0.2510243,FALSE
tRNA processing in the mitochondrion,Down,0.377031419,0.301191766,1,0.245988112,0.328426157,-0.183783416,FALSE,Up,0.776,0.716,1,-0.953604478,-0.904148933,0.019692568,FALSE
tRNA modification in the mitochondrion,Down,0.377031419,0.301191766,1,0.245988112,0.328426157,-0.183783416,FALSE,Up,0.776,0.716,1,-0.953604478,-0.904148933,0.019692568,FALSE
rRNA processing in the mitochondrion,Down,0.377031419,0.301191766,1,0.245988112,0.328426157,-0.183783416,FALSE,Up,0.776,0.716,1,-0.953604478,-0.904148933,0.019692568,FALSE
FOXO-mediated transcription,Up,0.406283857,0.30227519,7,0.185468899,0.198603359,0.118247687,FALSE,Up,0.745,0.668,5,-0.852496549,-0.865146039,0.045823694,FALSE
PKMTs methylate histone lysines,Down,0.450704225,0.303358613,1,-0.047440112,0.023256569,-0.257305026,FALSE,,,,,,,,
Smooth Muscle Contraction,Up,0.408450704,0.30552546,17,0.478247864,0.767179643,0.000916125,FALSE,Down,0.554,0.446,16,-0.402640884,-0.307817063,-0.128612572,FALSE
RHOQ GTPase cycle,Up,0.377031419,0.30552546,4,-0.060975537,0.037989118,0.074106813,FALSE,Down,0.681,0.604,3,-0.650884673,-0.60348826,-0.176092802,FALSE
Collagen biosynthesis and modifying enzymes,Up,0.349945829,0.306608884,10,0.743622787,0.865895778,0.236272673,FALSE,Up,0.058,0.032,4,2.110273946,2.28425163,0.978873184,FALSE
Signaling by RAF1 mutants,Up,0.427952329,0.306608884,10,-0.17191111,-0.185920688,0.061142244,FALSE,Up,0.234,0.185,9,0.849256535,0.636803042,0.039070999,FALSE
CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde,Down,0.357529794,0.307692308,1,-0.02707968,-0.064237824,-0.088346293,FALSE,Down,0.19,0.162,1,0.726957396,0.183331388,-0.842698848,FALSE
Vesicle-mediated transport,Up,0.332611051,0.308775731,50,-0.199678789,-0.139877709,0.012524223,FALSE,Down,0.2,0.144,60,0.759421841,0.773090084,-0.042670771,FALSE
Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA,Up,0.421451788,0.310942579,1,-0.085635823,-0.139988273,0.155594637,FALSE,Up,0.197,0.141,1,0.669828284,0.541504126,0.246229761,FALSE
"Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA",Up,0.421451788,0.310942579,1,-0.085635823,-0.139988273,0.155594637,FALSE,Up,0.197,0.141,1,0.669828284,0.541504126,0.246229761,FALSE
N-glycan trimming in the ER and Calnexin/Calreticulin cycle,Up,0.23943662,0.310942579,10,-0.10642366,-0.168873605,0.145767148,FALSE,Up,0.895,0.92,10,-1.728246798,-1.871414123,0.026942726,FALSE
Choline catabolism,Up,0.451787649,0.313109426,1,-0.080346194,-0.004153561,0.129985047,FALSE,Down,0.5,0.4,1,-0.216985343,-0.13819814,-0.134267178,FALSE
Proline catabolism,Up,0.356446371,0.313109426,1,0.576976029,0.689576484,0.402611195,FALSE,Up,0.786,0.714,1,-0.954839166,-0.90333685,0.153802726,FALSE
Unfolded Protein Response (UPR),Up,0.374864572,0.314192849,8,0.329980351,0.478402235,0.11977847,FALSE,Up,0.733,0.653,9,-0.812089325,-0.670854699,0.01265856,FALSE
VEGFR2 mediated vascular permeability,Up,0.387865655,0.314192849,4,-0.096919607,0.000422687,0.073886795,FALSE,Down,0.536,0.41,4,-0.407012927,-0.614790346,-0.237716556,FALSE
Keratinization,Down,0.468039003,0.316359697,6,-0.163490987,-0.010372087,-0.076334208,FALSE,Down,0.705,0.632,4,-0.806408792,-0.667914828,-0.178856371,FALSE
Formation of the cornified envelope,Down,0.468039003,0.316359697,6,-0.163490987,-0.010372087,-0.076334208,FALSE,Down,0.705,0.632,4,-0.806408792,-0.667914828,-0.178856371,FALSE
Lipophagy,Up,0.433369447,0.316359697,1,-0.012941843,-0.011985323,0.299811949,FALSE,Down,0.115,0.079,1,0.897089502,0.864986682,-0.176250684,FALSE
Collagen degradation,Up,0.388949079,0.31744312,9,0.53476722,0.636798372,0.199948636,FALSE,Up,0.004,0.003,3,3.226660957,3.409720923,1.193451948,TRUE
Signaling by GPCR,Up,0.373781148,0.318526544,17,-0.041095538,-0.084551904,0.002109709,FALSE,Down,0.434,0.389,12,-0.027306211,-0.135178332,-0.166704691,FALSE
GPCR downstream signalling,Up,0.373781148,0.318526544,17,-0.041095538,-0.084551904,0.002109709,FALSE,Down,0.434,0.389,12,-0.027306211,-0.135178332,-0.166704691,FALSE
Calnexin/calreticulin cycle,Up,0.232936078,0.319609967,8,0.059973835,-0.013036974,0.166274785,FALSE,Up,0.933,0.949,9,-1.963718707,-2.100670942,0.006126247,FALSE
Beta oxidation of hexanoyl-CoA to butanoyl-CoA,Up,0.370530878,0.320693391,5,0.790710741,0.980930466,0.19146254,FALSE,Down,0.922,0.903,5,-1.731156831,-1.614162233,-0.012622716,FALSE
EGR2 and SOX10-mediated initiation of Schwann cell myelination,Down,0.446370531,0.320693391,3,-0.368251503,-0.284507724,-0.06737103,FALSE,Down,0.213,0.153,1,0.861798496,0.951573322,-0.952642485,FALSE
Epigenetic regulation of gene expression,Down,0.39219935,0.322860238,4,-0.181054455,-0.206963118,-0.046632374,FALSE,Down,0.567,0.504,2,-0.318940434,-0.329415843,-0.444867719,FALSE
Alpha-oxidation of phytanate,Up,0.39219935,0.322860238,1,0.354051654,0.423169879,0.270178141,FALSE,Up,0.018,0.009,1,2.980457846,3.08879291,1.867570959,FALSE
Positive epigenetic regulation of rRNA expression,Down,0.39219935,0.322860238,4,-0.181054455,-0.206963118,-0.046632374,FALSE,Down,0.567,0.504,2,-0.318940434,-0.329415843,-0.444867719,FALSE
B-WICH complex positively regulates rRNA expression,Down,0.39219935,0.322860238,4,-0.181054455,-0.206963118,-0.046632374,FALSE,Down,0.567,0.504,2,-0.318940434,-0.329415843,-0.444867719,FALSE
Class I peroxisomal membrane protein import,Up,0.39219935,0.322860238,1,0.354051654,0.423169879,0.270178141,FALSE,Up,0.018,0.009,1,2.980457846,3.08879291,1.867570959,FALSE
Sulfur amino acid metabolism,Up,0.464788732,0.323943662,3,0.045950475,0.172156932,0.179844611,FALSE,Down,0.328,0.24,3,0.068085137,0.205226586,-0.108162657,FALSE
Assembly of collagen fibrils and other multimeric structures,Up,0.384615385,0.326110509,9,0.406909087,0.505243189,0.215522718,FALSE,Up,0.002,0.001,2,3.70954459,3.890418605,1.886478165,TRUE
Anchoring fibril formation,Up,0.399783315,0.328277356,6,0.282879867,0.316400041,0.307936067,FALSE,,,,,,,,
Crosslinking of collagen fibrils,Up,0.399783315,0.328277356,6,0.282879867,0.316400041,0.307936067,FALSE,,,,,,,,
Antiviral mechanism by IFN-stimulated genes,Up,0.19176598,0.330444204,10,0.209464788,0.146494816,0.14016747,FALSE,Down,0.639,0.741,8,-1.110780326,-1.26614709,-0.207732915,FALSE
Collagen formation,Up,0.384615385,0.330444204,11,0.396030552,0.519522036,0.21493864,FALSE,Up,0.058,0.032,4,2.110273946,2.28425163,0.978873184,FALSE
NCAM signaling for neurite out-growth,Up,0.430119177,0.330444204,11,-0.417131465,-0.264973674,0.128295372,FALSE,Up,0.004,0.001,3,4.614299818,4.633737905,1.012013613,TRUE
Citric acid cycle (TCA cycle),Up,0.440953413,0.330444204,19,0.100930624,0.444335992,0.088235167,FALSE,Down,0.886,0.847,18,-1.599066512,-1.302599642,-0.046735121,FALSE
Mitochondrial Fatty Acid Beta-Oxidation,Up,0.391115926,0.330444204,15,0.69355706,1.008084503,0.125123584,FALSE,Down,0.442,0.315,16,-0.174993712,0.139711554,-0.152603445,FALSE
Calmodulin induced events,Up,0.487540628,0.333694475,4,-0.344366539,-0.369575688,0.040647502,FALSE,Down,0.499,0.374,2,-0.112708457,-0.476438301,-0.437970232,FALSE
Ca-dependent events,Up,0.487540628,0.333694475,4,-0.344366539,-0.369575688,0.040647502,FALSE,Down,0.499,0.374,2,-0.112708457,-0.476438301,-0.437970232,FALSE
CaM pathway,Up,0.487540628,0.333694475,4,-0.344366539,-0.369575688,0.040647502,FALSE,Down,0.499,0.374,2,-0.112708457,-0.476438301,-0.437970232,FALSE
G-protein mediated events,Up,0.487540628,0.333694475,4,-0.344366539,-0.369575688,0.040647502,FALSE,Down,0.599,0.474,3,-0.32089299,-0.600600333,-0.420122121,FALSE
PLC beta mediated events,Up,0.487540628,0.333694475,4,-0.344366539,-0.369575688,0.040647502,FALSE,Down,0.499,0.374,2,-0.112708457,-0.476438301,-0.437970232,FALSE
DAG and IP3 signaling,Up,0.487540628,0.333694475,4,-0.344366539,-0.369575688,0.040647502,FALSE,Down,0.499,0.374,2,-0.112708457,-0.476438301,-0.437970232,FALSE
Ion transport by P-type ATPases,Down,0.526543879,0.333694475,9,-0.395268192,-0.254689433,-0.00616496,FALSE,Down,0.348,0.251,6,0.479474611,0.404157053,-0.417323152,FALSE
Metabolism,Up,0.459371614,0.335861322,252,0.3379412,1.16251069,0.043192052,FALSE,Down,0.754,0.719,231,-1.027195138,-0.576987602,-0.072398973,FALSE
Cardiac conduction,Down,0.442036836,0.335861322,13,-0.137115992,0.074863438,-0.046600199,FALSE,Down,0.595,0.486,10,-0.338975942,-0.32007855,-0.18365463,FALSE
Ion homeostasis,Down,0.442036836,0.335861322,13,-0.137115992,0.074863438,-0.046600199,FALSE,Down,0.646,0.518,9,-0.458442977,-0.465071558,-0.294787576,FALSE
Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA,Up,0.357529794,0.335861322,5,0.662455701,0.840619749,0.198903198,FALSE,Down,0.842,0.792,5,-1.337551107,-1.210980834,-0.02748057,FALSE
Beta oxidation of octanoyl-CoA to hexanoyl-CoA,Up,0.357529794,0.335861322,5,0.662455701,0.840619749,0.198903198,FALSE,Down,0.842,0.792,5,-1.337551107,-1.210980834,-0.02748057,FALSE
Sensory processing of sound,Down,0.439869989,0.335861322,14,-0.595806233,-0.456770093,-0.012306134,FALSE,Down,0.224,0.152,10,0.929866537,0.963583689,-0.201167949,FALSE
Regulation of localization of FOXO transcription factors,Up,0.417118093,0.339111593,4,0.09391752,0.058088849,0.178718608,FALSE,Up,0.484,0.412,3,-0.267262032,-0.331948777,0.240256602,FALSE
Beta-oxidation of very long chain fatty acids,Up,0.481040087,0.342361863,2,-0.032998709,0.071285641,0.042500653,FALSE,Down,0.031,0.019,3,2.552052574,2.728055276,-0.698836667,FALSE
Transport of Mature mRNA derived from an Intron-Containing Transcript,Down,0.476706392,0.344528711,2,0.022090359,0.120629011,-0.165617677,FALSE,Up,0.153,0.115,1,1.178411578,1.25840588,1.100935914,FALSE
Pregnenolone biosynthesis,Up,0.437703142,0.344528711,2,0.232777446,0.350732054,0.003631114,FALSE,Up,0.716,0.635,1,-0.791156815,-0.736407578,0.131690173,FALSE
mRNA 3'-end processing,Down,0.476706392,0.344528711,2,0.022090359,0.120629011,-0.165617677,FALSE,Up,0.153,0.115,1,1.178411578,1.25840588,1.100935914,FALSE
Transport of Mature Transcript to Cytoplasm,Down,0.476706392,0.344528711,2,0.022090359,0.120629011,-0.165617677,FALSE,Up,0.153,0.115,1,1.178411578,1.25840588,1.100935914,FALSE
RNA Polymerase II Transcription Termination,Down,0.476706392,0.344528711,2,0.022090359,0.120629011,-0.165617677,FALSE,Up,0.153,0.115,1,1.178411578,1.25840588,1.100935914,FALSE
Degradation of cysteine and homocysteine,Up,0.486457205,0.347778982,2,-0.044086179,0.054048858,0.181336763,FALSE,Down,0.698,0.62,1,-0.902023868,-0.851626099,-0.027970046,FALSE
Regulation of insulin secretion,Down,0.429035753,0.351029252,8,-0.196672967,-0.177881345,-0.026139854,FALSE,Down,0.804,0.769,7,-1.203389314,-1.18477146,-0.081482223,FALSE
Signaling by TGF-beta Receptor Complex,Up,0.206933911,0.352112676,8,0.061584469,-0.151551667,0.220317996,FALSE,Down,0.664,0.744,6,-1.239185291,-1.512941705,-0.069357173,FALSE
Signaling by TGFB family members,Up,0.206933911,0.352112676,8,0.061584469,-0.151551667,0.220317996,FALSE,Down,0.664,0.744,6,-1.239185291,-1.512941705,-0.069357173,FALSE
GPCR ligand binding,Down,0.442036836,0.3531961,8,-0.056504571,0.0218397,-0.101552765,FALSE,Down,0.35,0.3,7,0.37708587,0.473413787,-0.215973151,FALSE
Cristae formation,Down,0.552546046,0.3531961,16,-0.327797875,-0.04654542,-0.097486637,FALSE,Up,0.583,0.493,14,-0.618315351,-0.334731589,0.04658188,FALSE
RHO GTPases activate PAKs,Up,0.495124594,0.354279523,8,-0.292789914,-0.155883142,0.076286158,FALSE,Down,0.117,0.075,5,1.571021748,1.411251173,-0.612177804,FALSE
"Gamma carboxylation, hypusine formation and arylsulfatase activation",Down,0.539544962,0.355362947,1,-0.475258791,-0.432676608,-0.061042783,FALSE,Down,0.528,0.448,3,-0.385880405,-0.282361286,-0.121897077,FALSE
Synthesis of diphthamide-EEF2,Down,0.539544962,0.355362947,1,-0.475258791,-0.432676608,-0.061042783,FALSE,Down,0.081,0.051,1,1.708403934,1.801972068,-0.372467752,FALSE
RHO GTPases Activate WASPs and WAVEs,Down,0.496208017,0.355362947,3,-0.35158931,-0.362539978,-0.041245057,FALSE,Down,0.8,0.743,3,-0.985430848,-1.010647329,-0.232063288,FALSE
Aspartate and asparagine metabolism,Up,0.486457205,0.356446371,3,-0.162554615,-0.047537179,0.164866728,FALSE,Down,0.102,0.078,3,1.053535864,1.220471287,-0.184478316,FALSE
Signaling by MRAS-complex mutants,Up,0.477789816,0.356446371,2,-0.337018378,-0.35872787,0.106177241,FALSE,Up,0.197,0.141,1,0.669828284,0.541504126,0.246229761,FALSE
SHOC2 M1731 mutant abolishes MRAS complex function,Up,0.477789816,0.356446371,2,-0.337018378,-0.35872787,0.106177241,FALSE,Up,0.197,0.141,1,0.669828284,0.541504126,0.246229761,FALSE
Gain-of-function MRAS complexes activate RAF signaling,Up,0.477789816,0.356446371,2,-0.337018378,-0.35872787,0.106177241,FALSE,Up,0.197,0.141,1,0.669828284,0.541504126,0.246229761,FALSE
Release of apoptotic factors from the mitochondria,Up,0.434452871,0.358613218,2,0.025531285,0.09053134,0.133672633,FALSE,Down,0.685,0.606,2,-0.786845935,-0.73611526,-0.328722464,FALSE
Formation of apoptosome,Up,0.434452871,0.358613218,2,0.025531285,0.09053134,0.133672633,FALSE,Down,0.685,0.606,2,-0.786845935,-0.73611526,-0.328722464,FALSE
Cytochrome c-mediated apoptotic response,Up,0.434452871,0.358613218,2,0.025531285,0.09053134,0.133672633,FALSE,Down,0.685,0.606,2,-0.786845935,-0.73611526,-0.328722464,FALSE
SMAC (DIABLO) binds to IAPs ,Up,0.434452871,0.358613218,2,0.025531285,0.09053134,0.133672633,FALSE,Down,0.685,0.606,2,-0.786845935,-0.73611526,-0.328722464,FALSE
SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes ,Up,0.434452871,0.358613218,2,0.025531285,0.09053134,0.133672633,FALSE,Down,0.685,0.606,2,-0.786845935,-0.73611526,-0.328722464,FALSE
"SMAC, XIAP-regulated apoptotic response",Up,0.434452871,0.358613218,2,0.025531285,0.09053134,0.133672633,FALSE,Down,0.685,0.606,2,-0.786845935,-0.73611526,-0.328722464,FALSE
Apoptotic factor-mediated response,Up,0.434452871,0.358613218,2,0.025531285,0.09053134,0.133672633,FALSE,Down,0.685,0.606,2,-0.786845935,-0.73611526,-0.328722464,FALSE
Regulation of the apoptosome activity,Up,0.434452871,0.358613218,2,0.025531285,0.09053134,0.133672633,FALSE,Down,0.685,0.606,2,-0.786845935,-0.73611526,-0.328722464,FALSE
Glutathione conjugation,Up,0.41603467,0.359696641,4,0.069703117,0.216388001,0.099249251,FALSE,Up,0.341,0.256,4,0.311845775,0.488212497,0.1361716,FALSE
Signaling by Rho GTPases,Up,0.555796316,0.360780065,63,-0.395053551,-0.213260491,0.078234888,FALSE,Up,0.679,0.588,56,-0.50041386,-0.430997392,0.029951619,FALSE
"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Up,0.555796316,0.360780065,63,-0.395053551,-0.213260491,0.078234888,FALSE,Up,0.715,0.624,57,-0.598346448,-0.522511502,0.025778995,FALSE
KSRP (KHSRP) binds and destabilizes mRNA,Up,0.511375948,0.361863489,1,-0.249390126,-0.261026688,0.144194389,FALSE,Up,0.527,0.416,1,-0.133409519,-0.150525417,0.474815609,FALSE
mitochondrial fatty acid beta-oxidation of saturated fatty acids,Up,0.400866739,0.361863489,7,0.906175641,1.129453883,0.205252167,FALSE,Down,0.878,0.856,7,-1.583416774,-1.432137591,-0.000594678,FALSE
NOTCH4 Activation and Transmission of Signal to the Nucleus,Up,0.511375948,0.361863489,1,-0.249390126,-0.261026688,0.144194389,FALSE,Up,0.527,0.416,1,-0.133409519,-0.150525417,0.474815609,FALSE
NOTCH4 Intracellular Domain Regulates Transcription,Down,0.539544962,0.364030336,1,-0.25585674,-0.192278558,-0.122190862,FALSE,Up,0.804,0.731,1,-1.071531855,-1.024766891,0.028482927,FALSE
Intrinsic Pathway for Apoptosis,Up,0.456121343,0.367280607,7,-0.082229922,-0.081203392,0.153336958,FALSE,Up,0.608,0.505,7,-0.513682003,-0.571428346,0.035836018,FALSE
Activation of caspases through apoptosome-mediated cleavage,Up,0.421451788,0.36836403,1,0.089440337,0.116475643,0.188495654,FALSE,Down,0.424,0.342,1,0.029582231,0.057378092,-0.636990291,FALSE
MHC class II antigen presentation,Up,0.424702059,0.36836403,12,-0.385445817,-0.395900681,0.044275422,FALSE,Down,0.802,0.776,14,-1.059143437,-1.073167428,-0.201894783,FALSE
Pyroptosis,Up,0.421451788,0.36836403,1,0.089440337,0.116475643,0.188495654,FALSE,Down,0.424,0.342,1,0.029582231,0.057378092,-0.636990291,FALSE
tRNA processing,Down,0.546045504,0.36836403,3,-0.485717243,-0.378708125,-0.025175533,FALSE,Down,0.423,0.338,4,0.118618201,0.253858887,-0.098780992,FALSE
RHOB GTPase cycle,Up,0.550379198,0.36836403,5,-0.388536946,-0.280311573,0.032735034,FALSE,Up,0.945,0.94,3,-1.948107171,-1.871661538,0.013254118,FALSE
Glyoxylate metabolism and glycine degradation,Up,0.516793066,0.369447454,13,0.141633124,0.414956626,0.115964064,FALSE,Down,0.869,0.834,10,-1.401683948,-1.203266206,-0.047389106,FALSE
Creatine metabolism,Down,0.489707476,0.370530878,2,-0.185656141,-0.079540966,-0.212000647,FALSE,Down,0.013,0.007,2,2.46659267,2.687765908,-0.338787387,FALSE
Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA,Up,0.437703142,0.370530878,4,0.118171057,0.255129683,0.144715299,FALSE,Down,0.896,0.846,4,-1.516988733,-1.413184105,-0.067584973,FALSE
Insulin processing,Up,0.516793066,0.371614301,1,-0.220211752,-0.191178716,0.157953349,FALSE,Up,0.574,0.472,2,-0.296448656,-0.240369513,0.276246312,FALSE
Intraflagellar transport,Up,0.447453954,0.371614301,3,-0.274699166,-0.434833866,0.113769646,FALSE,Down,0.734,0.717,5,-1.164471008,-1.266222078,-0.108677932,FALSE
VLDL assembly,Up,0.516793066,0.371614301,1,-0.220211752,-0.191178716,0.157953349,FALSE,Up,0.518,0.429,1,-0.328484773,-0.293022292,0.212172864,FALSE
LDL remodeling,Up,0.516793066,0.371614301,1,-0.220211752,-0.191178716,0.157953349,FALSE,Up,0.518,0.429,1,-0.328484773,-0.293022292,0.212172864,FALSE
Interleukin-23 signaling,Up,0.516793066,0.371614301,1,-0.220211752,-0.191178716,0.157953349,FALSE,Up,0.518,0.429,1,-0.328484773,-0.293022292,0.212172864,FALSE
Signaling by Hedgehog,Up,0.17659805,0.373781148,17,-0.344955009,-1.00483695,0.108118346,FALSE,Down,0.712,0.853,26,-1.213674043,-2.699911526,-0.011142651,FALSE
Metabolism of steroid hormones,Up,0.523293608,0.375947996,3,0.016298461,0.146379184,0.05875293,FALSE,Up,0.716,0.635,1,-0.791156815,-0.736407578,0.131690173,FALSE
PTK6 Regulates Proteins Involved in RNA Processing,Down,0.457204767,0.379198267,1,-0.20248642,-0.140814774,-0.103665424,FALSE,,,,,,,,
Suppression of apoptosis,Down,0.457204767,0.379198267,1,-0.20248642,-0.140814774,-0.103665424,FALSE,,,,,,,,
Aflatoxin activation and detoxification,Up,0.459371614,0.381365114,1,-0.088505765,-0.011024989,0.138578145,FALSE,Down,0.739,0.655,1,-0.801354258,-0.743498371,-0.178719034,FALSE
Metabolism of lipids,Up,0.520043337,0.381365114,45,0.160430691,0.576588077,0.003079403,FALSE,Down,0.149,0.078,50,1.035902381,1.522405825,-0.140671615,FALSE
Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,Up,0.524377031,0.381365114,2,-0.238495121,-0.162018703,0.195170945,FALSE,Up,0.018,0.009,1,2.980457846,3.08879291,1.867570959,FALSE
HCMV Infection,Up,0.440953413,0.381365114,7,-0.340453794,-0.501212156,0.06406073,FALSE,Down,0.74,0.722,7,-1.012997326,-1.140217338,-0.04888078,FALSE
Formation of RNA Pol II elongation complex ,Down,0.463705309,0.383531961,1,-0.876251077,-0.857770965,-0.011605204,FALSE,Up,0.563,0.465,1,-0.386004347,-0.37218117,0.393273689,FALSE
Formation of HIV elongation complex in the absence of HIV Tat,Down,0.463705309,0.383531961,1,-0.876251077,-0.857770965,-0.011605204,FALSE,Up,0.563,0.465,1,-0.386004347,-0.37218117,0.393273689,FALSE
HIV Transcription Elongation,Down,0.463705309,0.383531961,1,-0.876251077,-0.857770965,-0.011605204,FALSE,Up,0.563,0.465,1,-0.386004347,-0.37218117,0.393273689,FALSE
Transcription of the HIV genome,Down,0.463705309,0.383531961,1,-0.876251077,-0.857770965,-0.011605204,FALSE,Up,0.563,0.465,1,-0.386004347,-0.37218117,0.393273689,FALSE
Formation of HIV-1 elongation complex containing HIV-1 Tat,Down,0.463705309,0.383531961,1,-0.876251077,-0.857770965,-0.011605204,FALSE,Up,0.563,0.465,1,-0.386004347,-0.37218117,0.393273689,FALSE
Pausing and recovery of Tat-mediated HIV elongation,Down,0.463705309,0.383531961,1,-0.876251077,-0.857770965,-0.011605204,FALSE,Up,0.563,0.465,1,-0.386004347,-0.37218117,0.393273689,FALSE
Tat-mediated HIV elongation arrest and recovery,Down,0.463705309,0.383531961,1,-0.876251077,-0.857770965,-0.011605204,FALSE,Up,0.563,0.465,1,-0.386004347,-0.37218117,0.393273689,FALSE
Tat-mediated elongation of the HIV-1 transcript,Down,0.463705309,0.383531961,1,-0.876251077,-0.857770965,-0.011605204,FALSE,Up,0.563,0.465,1,-0.386004347,-0.37218117,0.393273689,FALSE
HIV elongation arrest and recovery,Down,0.463705309,0.383531961,1,-0.876251077,-0.857770965,-0.011605204,FALSE,Up,0.563,0.465,1,-0.386004347,-0.37218117,0.393273689,FALSE
Pausing and recovery of HIV elongation,Down,0.463705309,0.383531961,1,-0.876251077,-0.857770965,-0.011605204,FALSE,Up,0.563,0.465,1,-0.386004347,-0.37218117,0.393273689,FALSE
"Unblocking of NMDA receptors, glutamate binding and activation",Up,0.485373781,0.383531961,3,-0.513907789,-0.507146338,0.014610909,FALSE,Down,0.181,0.129,2,0.843167829,0.492359414,-0.277752056,FALSE
CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling,Up,0.485373781,0.383531961,3,-0.513907789,-0.507146338,0.014610909,FALSE,Down,0.181,0.129,2,0.843167829,0.492359414,-0.277752056,FALSE
Ras activation upon Ca2+ influx through NMDA receptor,Up,0.485373781,0.383531961,3,-0.513907789,-0.507146338,0.014610909,FALSE,Down,0.181,0.129,2,0.843167829,0.492359414,-0.277752056,FALSE
RNA Polymerase II Pre-transcription Events,Down,0.463705309,0.383531961,1,-0.876251077,-0.857770965,-0.011605204,FALSE,Up,0.563,0.465,1,-0.386004347,-0.37218117,0.393273689,FALSE
TP53 Regulates Transcription of DNA Repair Genes,Down,0.463705309,0.383531961,1,-0.876251077,-0.857770965,-0.011605204,FALSE,Up,0.563,0.465,1,-0.386004347,-0.37218117,0.393273689,FALSE
RNA Polymerase II Transcription Elongation,Down,0.463705309,0.383531961,1,-0.876251077,-0.857770965,-0.011605204,FALSE,Up,0.563,0.465,1,-0.386004347,-0.37218117,0.393273689,FALSE
RHOA GTPase cycle,Up,0.515709642,0.383531961,10,-0.370019386,-0.195141396,0.105273062,FALSE,Up,0.932,0.922,5,-1.796809744,-1.695912341,0.111533497,FALSE
Negative regulation of NMDA receptor-mediated neuronal transmission,Up,0.485373781,0.383531961,3,-0.513907789,-0.507146338,0.014610909,FALSE,Down,0.181,0.129,2,0.843167829,0.492359414,-0.277752056,FALSE
Long-term potentiation,Up,0.485373781,0.383531961,3,-0.513907789,-0.507146338,0.014610909,FALSE,Down,0.181,0.129,2,0.843167829,0.492359414,-0.277752056,FALSE
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,Down,0.452871073,0.385698808,1,-0.332562925,-0.278243186,-0.068747415,FALSE,Down,0.049,0.028,4,2.110317492,2.293455479,-0.525164164,FALSE
Linoleic acid (LA) metabolism,Down,0.452871073,0.385698808,1,-0.332562925,-0.278243186,-0.068747415,FALSE,Down,0.179,0.13,1,1.128189755,1.232315871,-0.602576575,FALSE
alpha-linolenic acid (ALA) metabolism,Down,0.452871073,0.385698808,1,-0.332562925,-0.278243186,-0.068747415,FALSE,Down,0.049,0.028,4,2.110317492,2.293455479,-0.525164164,FALSE
Activation of BAD and translocation to mitochondria ,Up,0.447453954,0.386782232,5,-0.113443158,-0.153338196,0.161202688,FALSE,Up,0.458,0.357,5,-0.110151678,-0.210562968,0.181659411,FALSE
Activation of BH3-only proteins,Up,0.447453954,0.386782232,5,-0.113443158,-0.153338196,0.161202688,FALSE,Up,0.458,0.357,5,-0.110151678,-0.210562968,0.181659411,FALSE
